id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,"I see a duplicate charge on my visa for merchandise, old transaction.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN002,Duplicate payment on my Visa? Confused about this merchandise transaction.,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN003,Why did I get charged twice for an old order on my visa?,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN004,Help! I have a duplicate charge for merchandise on my visa from a while ago.,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN005,"I was charged twice for the same thing on my visa. It's an old transaction, very confusing!","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN006,I noticed that my recent payment to a service using my Discover card hasn't been processed yet. Can you help me figure out what's wrong?,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN007,"Hey, I made a transaction for a service recently and it seems like my Discover credit card payment is still not processed. What can I do?","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN008,"So, I tried to pay for a service recently with my Discover card, but the charge doesn’t seem to have gone through. Any ideas on what might be the issue?","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN009,"I have a recent transaction with a service, but my Discover card payment hasn't been processed. Can you check what happened?","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN010,"My Discover card was used for a service transaction, but I don't see it being processed. Any chance you can assist me with this?","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN011,"I recently canceled my subscription for a service, but I noticed a charge on my mastercard. Can you help me resolve this?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN012,"Hi, I'm really frustrated because I canceled my subscription for the services I was using, yet I still see a transaction on my mastercard. What should I do?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN013,"I just recently canceled my subscription, and I expected no more charges. But I saw a payment on my mastercard for a service I don't use anymore. Can you look into this?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN014,"Ugh, I thought I had canceled my service subscription, but I got charged on my mastercard. It's so frustrating! How can we fix this?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN015,"I canceled my subscription, but I'm still getting charged by a service on my mastercard. This is really annoying, can someone help me with this recent transaction issue?","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN016,unrecognized charge on visa for merchandise,"{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN017,"wrong charge from a merchant on visa, old txn","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN018,"visa transaction dispute, merchant issue, help!","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN019,"old transaction not recognized, please assist","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN020,dispute for merchandise not recognized on my visa,"{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN021,credit not processed for my recent mastercard purchase of merchandise,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN022,got charged but no credit for my recent mastercard order,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN023,where's my credit for that merch I bought with my mastercard?,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN024,few days ago I used my mastercard for a purchase and the credit didn't go through,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN025,"my mastercard payment for merchandise hasn’t been credited yet, what's up with that?","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN026,"I'm really frustrated because I ordered some merchandise that turned out to be unacceptable. I used my Amex card for this low amount transaction, and it's just not what I expected. Can you help me resolve this dispute?","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
