id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,keto recipes using pantry stuff,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN002,Keto idea? i have some random ingredients!,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN003,any keto meals that take a bit of effort? 🤔,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN004,"gluten-free recipe pls, flexible ingredients","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN005,looking for gluten free meals!! got stuff in pantry,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN006,"need ideas for gLuten frEE dishes 🥘, i'm free to cook anytime","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN007,Hey Chatbot! I have some time and skills to whip up something fancy 💪🍽️. Can you suggest an advanced recipe that doesn’t have any Mexican flavors since I’m not keen on that? I’m looking for something complex that I can do in about 30 to 60 minutes. Thanks!,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: [Mexican]"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN008,"Can you help with a detailed recipe that’s advanced and requires high effort? I wanna try something without any mexican ingredients, but I’m open to other cuisines! I have around 30 to 60 mins to spend cooking, so it should fit that time frame.  Let’s make it a challenge! 🥘✨","{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: [Mexican]"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN009,i need a complex recipe that i can spend about 30-60 minutes on. plz avoid mexican cuisine but Im open to anything else. I’m pretty skilled in the kitchen and looking for something that will really test my abilities and make the effort worth it. maybe a dish that has several steps or techniques? Thanks!,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: [Mexican]"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN010,"hey, can you help me find a quick and easy vegan recipe using tofu, spinach, and quinoa? i want something Indian but it has to be under 30 mins! 😋","{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: [tofu, spinach, quinoa]"",""CuisinePreference"":""specific_cuisine: [Indian]"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
